Player 0, Player 1, Player 2, Player 3, Player 4, LLM, Win, Round, Scores on relationship 0, Scores on relationship 1, Scores on relationship 2, Scores on relationship 3, Scores on relationship 4
Servant, Assassin, Servant, Merlin, Minion, GPT-3.5, False, 0, 1.0, 1.0, 0.5, 0.0, 0.0
Servant, Assassin, Servant, Merlin, Minion, GPT-3.5, False, 1, 1.0, 1.0, 0.5, 0.0, 0.0
Servant, Assassin, Servant, Merlin, Minion, GPT-3.5, False, 2, 1.0, 1.0, 0.5, 0.0, 0.0
Servant, Assassin, Servant, Merlin, Minion, GPT-4, False, 0, 1.0, 0.6, 0.4, 0.4, 0.6
Servant, Assassin, Servant, Merlin, Minion, GPT-4, False, 1, 1.0, 0.5, 0.4, 0.6, 0.5
Servant, Assassin, Servant, Merlin, Minion, GPT-4, False, 2, 1.0, 0.6, 0.4, 0.4, 0.6
Servant, Assassin, Merlin, Servant, Minion, GPT-3.5, False, 0, 0.5, 0.8, 0.5, 0.5, 0.8
Servant, Assassin, Merlin, Servant, Minion, GPT-3.5, False, 1, 0.5, 0.9, 0.3, 0.8, 0.5
Servant, Assassin, Merlin, Servant, Minion, GPT-3.5, False, 2, 0.9, 0.8, 0.7, 0.9, 0.5
Servant, Assassin, Merlin, Servant, Minion, GPT-3.5, False, 3, 0.9, 0.8, 0.4, 0.4, 0.7
Servant, Assassin, Merlin, Servant, Minion, GPT-4, True, 0, 1.0, 0.5, 0.5, 0.5, 0.5
Servant, Assassin, Merlin, Servant, Minion, GPT-4, True, 1, 1.0, 0.5, 0.5, 0.5, 0.5
Servant, Assassin, Merlin, Servant, Minion, GPT-4, True, 2, 1.0, 0.5, 0.5, 0.5, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-3.5, False, 0, 1.0, 0.75, 0.75, 0.5, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-3.5, False, 1, 1.0, 0.75, 0.75, 0.5, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-3.5, False, 2, 1.0, 0.75, 0.75, 0.5, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-4, False, 0, 1.0, 0.5, 0.5, 0.5, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-4, False, 1, 1.0, 0.5, 0.5, 0.45, 0.5
Servant, Minion, Assassin, Merlin, Servant, GPT-4, False, 2, 1.0, 0.5, 0.5, 0.4, 0.4
Assassin, Servant, Merlin, Servant, Minion, GPT-3.5, False, 0, 0.5, 0.0, 0.25, 0.5, 0.5
Assassin, Servant, Merlin, Servant, Minion, GPT-3.5, False, 1, 0.5, 0.0, 0.25, 0.5, 0.5
Assassin, Servant, Merlin, Servant, Minion, GPT-3.5, False, 2, 0.5, 0.0, 0.25, 0.5, 0.5
Assassin, Servant, Merlin, Servant, Minion, GPT-4, False, 0, 1.0, 0.2, 0.5, 1.0, 0.2
Assassin, Servant, Merlin, Servant, Minion, GPT-4, False, 1, 1.0, 0.2, 0.5, 1.0, 0.2
Assassin, Servant, Merlin, Servant, Minion, GPT-4, False, 2, 1.0, 0.2, 0.5, 1.0, 0.2
Assassin, Servant, Merlin, Servant, Minion, GPT-4, False, 3, 1.0, 0.1, 0.5, 1.0, 0.4
Assassin, Servant, Servant, Merlin, Minion, GPT-3.5, False, 0, 0.5, 0.0, 0.0, 0.0, 0.5
Assassin, Servant, Servant, Merlin, Minion, GPT-3.5, False, 1, 0.5, 0.0, 0.0, 0.0, 0.5
Assassin, Servant, Servant, Merlin, Minion, GPT-3.5, False, 2, 0.5, 0.0, 0.0, 0.0, 0.5
Assassin, Servant, Servant, Merlin, Minion, GPT-4, False, 0, 1.0, 0.25, 0.25, 1.0, 0.25
Assassin, Servant, Servant, Merlin, Minion, GPT-4, False, 1, 1.0, 0.25, 0.25, 1.0, 0.25
Assassin, Servant, Servant, Merlin, Minion, GPT-4, False, 2, 1.0, 0.25, 0.25, 1.0, 0.25
Assassin, Servant, Servant, Minion, Merlin, GPT-3.5, False, 0, 0.5, 0.0, 0.5, 0.5, 0.5
Assassin, Servant, Servant, Minion, Merlin, GPT-3.5, False, 1, 0.5, 0.0, 0.5, 0.5, 0.5
Assassin, Servant, Servant, Minion, Merlin, GPT-3.5, False, 2, 0.5, 0.0, 0.5, 0.5, 0.5
Assassin, Servant, Servant, Minion, Merlin, GPT-3.5, False, 3, 0.5, 0.0, 0.5, 0.5, 0.5
Assassin, Servant, Servant, Minion, Merlin, GPT-4, True, 0, 1.0, 0.2, 0.5, 1.0, 0.2
Assassin, Servant, Servant, Minion, Merlin, GPT-4, True, 1, 1.0, 0.2, 0.5, 1.0, 0.2
Assassin, Servant, Servant, Minion, Merlin, GPT-4, True, 2, 1.0, 0.5, 0.5, 1.0, 0.0
Assassin, Servant, Servant, Minion, Merlin, GPT-4, True, 3, 1.0, 0.5, 0.5, 1.0, 0.0
Assassin, Merlin, Servant, Servant, Minion, GPT-3.5, False, 0, 0.5, 0.19999999999999996, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-3.5, False, 1, 0.5, 0.19999999999999996, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-3.5, False, 2, 0.5, 0.19999999999999996, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-4, 0, 0, 1.0, 0.5, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-4, 0, 1, 1.0, 0.5, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-4, 0, 2, 1.0, 0.5, 0.5, 0.5, 0.5
Assassin, Merlin, Servant, Servant, Minion, GPT-4, 0, 3, 1.0, 0.5, 0.5, 0.5, 0.5
Assassin, Minion, Servant, Servant, Merlin, GPT-3.5, False, 0, 0.5, 0.19999999999999996, 0.5, 0.5, 0.5
Assassin, Minion, Servant, Servant, Merlin, GPT-3.5, False, 1, 0.5, 0.30000000000000004, 0.5, 0.4, 0.5
Assassin, Minion, Servant, Servant, Merlin, GPT-3.5, False, 2, 0.5, 0.4, 0.5, 0.30000000000000004, 0.4
Assassin, Minion, Servant, Servant, Merlin, GPT-3.5, False, 3, 0.5, 0.4, 0.5, 0.30000000000000004, 0.4
Assassin, Minion, Servant, Servant, Merlin, GPT-4, False, 0, 1.0, 0.0, 1.0, 0.0, 0.0
Assassin, Minion, Servant, Servant, Merlin, GPT-4, False, 1, 1.0, 0.0, 1.0, 0.0, 0.0
Assassin, Minion, Servant, Servant, Merlin, GPT-4, False, 2, 1.0, 0.0, 1.0, 0.0, 0.0
Assassin, Minion, Servant, Servant, Merlin, GPT-4, False, 3, 1.0, 0.0, 1.0, 0.0, 0.0
Assassin, Minion, Servant, Servant, Merlin, GPT-4, False, 4, 1.0, 0.0, 1.0, 0.0, 0.0
